Age,Cause,Country,ISOAlpha3,Measure,Metric,Sex,Subregion name,Unit of measurement,Year,Value
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Both sexes,Southern Cone,"deaths per 100,000 population",2008,9.1906
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2009,3.328
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Male,Southern Cone,"deaths per 100,000 population",2009,14.2159
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Both sexes,Southern Cone,"deaths per 100,000 population",2009,8.6535
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2010,3.296
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Male,Southern Cone,"deaths per 100,000 population",2010,14.349
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Both sexes,Southern Cone,"deaths per 100,000 population",2010,8.7024
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2011,3.3881
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Male,Southern Cone,"deaths per 100,000 population",2011,14.052
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Both sexes,Southern Cone,"deaths per 100,000 population",2011,8.6043
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2012,3.5943
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Male,Southern Cone,"deaths per 100,000 population",2012,15.0593
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Both sexes,Southern Cone,"deaths per 100,000 population",2012,9.2028
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2013,3.3137
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Male,Southern Cone,"deaths per 100,000 population",2013,14.0695
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Both sexes,Southern Cone,"deaths per 100,000 population",2013,8.5756
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2014,3.8128
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Male,Southern Cone,"deaths per 100,000 population",2014,14.8089
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Both sexes,Southern Cone,"deaths per 100,000 population",2014,9.1928
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2015,3.42
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Male,Southern Cone,"deaths per 100,000 population",2015,14.4746
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Both sexes,Southern Cone,"deaths per 100,000 population",2015,8.8292
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2016,3.5421
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Male,Southern Cone,"deaths per 100,000 population",2016,15.0871
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Both sexes,Southern Cone,"deaths per 100,000 population",2016,9.1919
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2000,3.1029
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Male,Southern Cone,"deaths per 100,000 population",2000,18.8455
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Both sexes,Southern Cone,"deaths per 100,000 population",2000,10.8862
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2001,3.1727
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Male,Southern Cone,"deaths per 100,000 population",2001,18.9035
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Both sexes,Southern Cone,"deaths per 100,000 population",2001,10.9511
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2002,3.1989
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Male,Southern Cone,"deaths per 100,000 population",2002,17.6184
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Both sexes,Southern Cone,"deaths per 100,000 population",2002,10.3297
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2003,3.2925
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Male,Southern Cone,"deaths per 100,000 population",2003,18.0438
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Both sexes,Southern Cone,"deaths per 100,000 population",2003,10.588
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2004,3.3933
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Male,Southern Cone,"deaths per 100,000 population",2004,18.8416
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Both sexes,Southern Cone,"deaths per 100,000 population",2004,11.0342
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2005,3.5209
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Male,Southern Cone,"deaths per 100,000 population",2005,17.8348
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Both sexes,Southern Cone,"deaths per 100,000 population",2005,10.6014
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2006,3.7513
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Male,Southern Cone,"deaths per 100,000 population",2006,18.9552
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Both sexes,Southern Cone,"deaths per 100,000 population",2006,11.2727
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2007,4.439
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Male,Southern Cone,"deaths per 100,000 population",2007,18.8431
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Both sexes,Southern Cone,"deaths per 100,000 population",2007,11.5655
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2008,5.1246
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Male,Southern Cone,"deaths per 100,000 population",2008,20.9645
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Both sexes,Southern Cone,"deaths per 100,000 population",2008,12.9623
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2009,5.2236
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Male,Southern Cone,"deaths per 100,000 population",2009,21.5517
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Both sexes,Southern Cone,"deaths per 100,000 population",2009,13.3038
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2010,4.6515
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Male,Southern Cone,"deaths per 100,000 population",2010,19.9017
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Both sexes,Southern Cone,"deaths per 100,000 population",2010,12.1991
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2011,4.5167
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Male,Southern Cone,"deaths per 100,000 population",2011,20.4185
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Both sexes,Southern Cone,"deaths per 100,000 population",2011,12.3877
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2012,3.9956
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Male,Southern Cone,"deaths per 100,000 population",2012,18.4579
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Both sexes,Southern Cone,"deaths per 100,000 population",2012,11.1549
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2013,3.8593
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Male,Southern Cone,"deaths per 100,000 population",2013,17.2632
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Both sexes,Southern Cone,"deaths per 100,000 population",2013,10.4955
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2014,3.765
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Male,Southern Cone,"deaths per 100,000 population",2014,17.7956
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Both sexes,Southern Cone,"deaths per 100,000 population",2014,10.7124
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2015,4.4008
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Male,Southern Cone,"deaths per 100,000 population",2015,17.4512
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Both sexes,Southern Cone,"deaths per 100,000 population",2015,10.8637
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2016,4.0174
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Male,Southern Cone,"deaths per 100,000 population",2016,17.2444
All-ages,Self-harm,Chile,CHL,Deaths,Rate,Both sexes,Southern Cone,"deaths per 100,000 population",2016,10.5687
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Female,Central America,"deaths per 100,000 population",2000,1.1347
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Male,Central America,"deaths per 100,000 population",2000,6.1403
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Both sexes,Central America,"deaths per 100,000 population",2000,3.6201
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Female,Central America,"deaths per 100,000 population",2001,1.4275
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Male,Central America,"deaths per 100,000 population",2001,6.3987
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Both sexes,Central America,"deaths per 100,000 population",2001,3.8965
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Female,Central America,"deaths per 100,000 population",2002,1.3575
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Male,Central America,"deaths per 100,000 population",2002,6.5424
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Both sexes,Central America,"deaths per 100,000 population",2002,3.9335
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Female,Central America,"deaths per 100,000 population",2003,1.4093
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Male,Central America,"deaths per 100,000 population",2003,6.8684
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Both sexes,Central America,"deaths per 100,000 population",2003,4.1225
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Female,Central America,"deaths per 100,000 population",2004,1.3663
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Male,Central America,"deaths per 100,000 population",2004,6.8817
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Both sexes,Central America,"deaths per 100,000 population",2004,4.1084
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Female,Central America,"deaths per 100,000 population",2005,1.4607
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Male,Central America,"deaths per 100,000 population",2005,7.0776
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Both sexes,Central America,"deaths per 100,000 population",2005,4.2541
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Female,Central America,"deaths per 100,000 population",2006,1.3833
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Male,Central America,"deaths per 100,000 population",2006,6.9026
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Both sexes,Central America,"deaths per 100,000 population",2006,4.1288
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Female,Central America,"deaths per 100,000 population",2007,1.7123
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Male,Central America,"deaths per 100,000 population",2007,6.8725
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Both sexes,Central America,"deaths per 100,000 population",2007,4.2796
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Female,Central America,"deaths per 100,000 population",2008,1.9268
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Male,Central America,"deaths per 100,000 population",2008,7.2494
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Both sexes,Central America,"deaths per 100,000 population",2008,4.5752
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Female,Central America,"deaths per 100,000 population",2009,2.0131
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Male,Central America,"deaths per 100,000 population",2009,7.6885
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Both sexes,Central America,"deaths per 100,000 population",2009,4.8374
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Female,Central America,"deaths per 100,000 population",2010,1.8553
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Male,Central America,"deaths per 100,000 population",2010,7.419
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Both sexes,Central America,"deaths per 100,000 population",2010,4.6243
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Female,Central America,"deaths per 100,000 population",2011,2.206
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Male,Central America,"deaths per 100,000 population",2011,8.4956
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Both sexes,Central America,"deaths per 100,000 population",2011,5.3366
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Female,Central America,"deaths per 100,000 population",2012,2.0718
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Male,Central America,"deaths per 100,000 population",2012,7.8924
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Both sexes,Central America,"deaths per 100,000 population",2012,4.9692
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Female,Central America,"deaths per 100,000 population",2013,2.0795
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Male,Central America,"deaths per 100,000 population",2013,8.427
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Both sexes,Central America,"deaths per 100,000 population",2013,5.2393
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Female,Central America,"deaths per 100,000 population",2014,2.414
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Male,Central America,"deaths per 100,000 population",2014,8.9217
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Both sexes,Central America,"deaths per 100,000 population",2014,5.6538
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Female,Central America,"deaths per 100,000 population",2015,2.4142
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Male,Central America,"deaths per 100,000 population",2015,8.7819
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Both sexes,Central America,"deaths per 100,000 population",2015,5.5845
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Female,Central America,"deaths per 100,000 population",2016,2.3048
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Male,Central America,"deaths per 100,000 population",2016,7.9704
All-ages,Self-harm,Mexico,MEX,Deaths,Rate,Both sexes,Central America,"deaths per 100,000 population",2016,5.1256
