video_id,title,description,iframe,link
QYYxoosP9u4,Manipulacion de datos con Dplyr en R sesion 1,Taller sobre manipulacion de datos utilizando la libreria dplyr. La duracion del taller sera de una hora y esta es la primera parte de una serie de 2 a 4 streams.,"
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/QYYxoosP9u4"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/QYYxoosP9u4
0ttBrNZ4akg,Taller Manipulacion de Datos,Estamos probando la herramienta que usaremos para llevar acabo el taller. Tambien hablaremos de los requisito necesarios para tomar el taller,"
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/0ttBrNZ4akg"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/0ttBrNZ4akg
EwLZW7HTlb4,Probabilidad Condicional - Problema  73 y 74,"# Problema 73
Gregor Mendel fue un monje que, en 1865, sugirió una teoría de la herencia basada en la ciencia de la genética. Él identifi có individuos heterocigotos para color de fl or que tenían dos alelos (un r = alelo color blanco recesivo y un R = alelo color rojo dominante). Cuando estos individuos se apareaban, se observaba que 3/4 de la descendencia tenían fl ores rojas y 1/4 tenían fl ores blancas. La tabla siguienteresume este apareamiento; cada padre da uno de sus alelos para formar el gen de la descendencia.
Suponemos que es igualmente probable que cada padre contribuye con cualquiera de los dos alelos y que, si uno o dos de los alelos en un par es dominante (R), la descendencia tendrá fl ores rojas. ¿Cuál es la probabilidad de que un descendiente tenga 
a) al menos un alelo dominante?, 
b) al menos un alelo recesivo?,
c) un alelo recesivo, dado que la descendencia tiene fl ores rojas?

# Problema 74
Cien adultos fueron entrevistados en una encuesta por teléfono. De interés fue la opinión de ellos con respecto a las cargas que implican los préstamos para estudiantes universitarios y si quienes respondieron tenían un hijo actualmente en la universidad. Sus respuestas se resumen en la tabla siguiente:
De los siguientes eventos, ¿cuáles son independientes? 
a) A y D
 b) B y D
c) C y D

# Contenido
0:00 Dale me gusta!
0:37 Enunciado del problema 73
1:57 Inciso a) problema 73
2:42 Inciso b) problema 73
3:15 Inciso c) problema 74
5:53 Problema 74
6:46 Inciso a) problema 74
8:33 Inciso b) problema 74
10:53 Inciso c) problema 74
12:07 Recuerda suscribirte.

# Clase de probabilidad condicional
https://youtu.be/m8-MPxS06qc

# Videos de teoria de probabilidades
https://www.youtube.com/playlist?list=PLAFn9q_BCao_pPp3J7oaUG1KtdSs6B77D

===Suscribete a nuestro canal en youtube===
http://www.youtube.com/academatica

===Siguenos en Facebook===
http://www.facebook.com/academatica

===Visitas nuestros sitios===
http://www.academatica.com","
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/EwLZW7HTlb4"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/EwLZW7HTlb4
s6oIxMjCmlQ,Probabilidad Condicional - Problema 72,"Para cierta población de empleados, el porcentaje que aprueba o reprueba un examen de competencia en un trabajo, indicado de acuerdo con el género, fueron como se ve en la tabla siguiente. Esto es, de todas las personas que tomaron el examen, 24% estaban en la categoría de hombre-aprobado, 16% estuvieron en la categoría de mujer-reprobada y así sucesivamente. Un empleado va a ser seleccionado al azar de esta población. Sea A el evento de que el empleado obtenga una califi cación de aprobado en el examen y sea M el evento de que se seleccione un hombre.

# Video sobre probabilidad condicional
https://youtu.be/m8-MPxS06qc
# Clases de Estadistica 
https://www.youtube.com/playlist?list=PLAFn9q_BCao_pPp3J7oaUG1KtdSs6B77D

# Contenido
0:00 Recuerda Suscribirte
0:30 Dale like
1:08 Enunciado del problema
2:23 Probabilidades de la tabla
4:42 Inciso a)
7:24 Inciso b)
9:54 Recomendaciones Finales

===Suscribete a nuestro canal en youtube===
http://www.youtube.com/academatica

===Siguenos en Facebook===
http://www.facebook.com/academatica

===Visitas nuestros sitios===
http://www.academatica.com","
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/s6oIxMjCmlQ"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/s6oIxMjCmlQ
VXKgEvZecX8,Probabilidad Condicional - Problema 71,"# enunciado
Si dos eventos, A y B, son tales que P(A) = .5, P(B) = .3, y P(A ∩ B) = .1, encuentre lo siguiente: 
a. P(A| B) 
b. P(B| A)
c. P(A| A ∪B)
d. P(A | A ∩B) 
e. P(A ∩B | A ∪B)

# Video sobre probabilidad condicional
https://youtu.be/m8-MPxS06qc

# Lista de reproduccion de teoria de probabilidad
https://www.youtube.com/playlist?list=PLAFn9q_BCao_pPp3J7oaUG1KtdSs6B77D

# Contenido
0:00 Recuerda dejar un like
1:00 Enunciado del problema
1:35 Inciso a)
2:54 Inciso b)
3:48 Inciso c)
8:17 Inciso d)
10:48 Inciso e)
13:24 Despedida 

===Suscribete a nuestro canal en youtube===
http://www.youtube.com/academatica

===Siguenos en Facebook===
http://www.facebook.com/academatica

===Visitas nuestros sitios===
http://www.academatica.com","
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/VXKgEvZecX8"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/VXKgEvZecX8
4iTLel_-46w,Probabilidad - Problema 70,"Demostracion de la expansion multinomial.
===Suscribete a nuestro canal en youtube===
http://www.youtube.com/academatica

===Siguenos en Facebook===
http://www.facebook.com/academatica

===Visitas nuestros sitios===
http://www.academatica.com","
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/4iTLel_-46w"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/4iTLel_-46w
v1k5tyg-u40,Probabilidad - Problema 69,"Demostrar que (n+1)Ck = nCk +nC(k-1)

===Suscribete a nuestro canal en youtube===
http://www.youtube.com/academatica

===Siguenos en Facebook===
http://www.facebook.com/academatica

===Visitas nuestros sitios===
http://www.academatica.com","
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/v1k5tyg-u40"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/v1k5tyg-u40
r-mS-chnxJw,Probabilidad - ejercicio 68,"Demostraciones de algunas propiedades de la combinaciones.

===Suscribete a nuestro canal en youtube===
http://www.youtube.com/academatica

===Siguenos en Facebook===
http://www.facebook.com/academatica

===Visitas nuestros sitios===
http://www.academatica.com","
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/r-mS-chnxJw"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/r-mS-chnxJw
Jt9NUEySBx0,Probabilidad - Problema 67,"Una empresa compra abastecimientos a M distribuidores y desea colocar n pedidos (n menor que M). Suponga que la empresa coloca los pedidos en forma que permita a cada distribuidor tener igual probabilidad de obtener cualquier pedido y no hay restricción en el número de pedidos que se puedan colocar con cualquier distribuidor. Encuentre la probabilidad de que un distribuidor particular, por ejemplo el distribuidor I, obtenga exactamente k pedidos (k ≤ n).

 Suponga que el número de distribuidores es M = 10 y que hay n = 7 pedidos por ser colocados. ¿Cuál es la probabilidad de que
 a. todos los pedidos vayan a distribuidores diferentes?,
*b. el distribuidor I obtenga exactamente dos pedidos y el distribuidor II obtenga exactamente tres pedidos?,
*c. los distribuidores I, II y III obtengan exactamente dos, tres y un pedido(s), respectivamente?

===Suscribete a nuestro canal en youtube===
http://www.youtube.com/academatica

===Siguenos en Facebook===
http://www.facebook.com/academatica

===Visitas nuestros sitios===
http://www.academatica.com","
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Jt9NUEySBx0"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/Jt9NUEySBx0
NXz_Y-DACaQ,Probabilidad - Problema 66,"Ha surgido una disputa laboral respecto a la distribución de 20 trabajadores a cuatro trabajos de construcción diferentes. El primer trabajo (considerado muy indeseable) requirió de 6 trabajadores; el segundo, tercero y cuarto utilizaron 4, 5 y 5 trabajadores, respectivamente. La disputa surgió sobre una supuesta distribución aleatoria de los trabajadores a los trabajos que pusieron a los 4 miembros de un grupo étnico particular en el trabajo 1. Al considerar si la asignación representaba una injusticia, un panel de mediación pedía la probabilidad del evento observado. Determine el número de puntos muestrales del espacio muestral S para este experimento. Esto es, determine el número de formas en que los 20 trabajadores se pueden dividir en grupos de los tamaños apropiados para llenar todas las posiciones de trabajo. Encuentre la probabilidad del evento observado si se supone que los trabajadores son asignados en forma
aleatoria a los trabajos.

¿Cuál es la probabilidad de que a el miembro de un grupo étnico sea asignado 
a.  cada tipo de trabajo?,
b.  no se asigne ningún miembro de un grupo étnico a un trabajo tipo 4?

===Suscribete a nuestro canal en youtube===
http://www.youtube.com/academatica

===Siguenos en Facebook===
http://www.facebook.com/academatica

===Visitas nuestros sitios===
http://www.academatica.com","
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/NXz_Y-DACaQ"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/NXz_Y-DACaQ
rzzXYeoEm1I,"Probabilidad - Problemas 63, 64, 65","# Problema 63
Los ocho miembros del Consejo Asesor de Relaciones Humanas de Gainesville, Florida, consideró la queja de una mujer que alegaba discriminación, basada en su género, de parte de una empresa local.
El Consejo, compuesto de cinco mujeres y tres hombres, votó 5–3 a favor de la quejosa, con las cinco mujeres votando a favor de ella y los tres hombres en contra. El abogado que representaba a la compañía apeló la decisión del Consejo reclamando sesgo de género de parte de los miembros del Consejo. Si no hubo sesgo de género entre los miembros del Consejo, podría ser razonable hacer conjeturas de que sería probable que cualquier grupo de cinco miembros votara a favor de la quejosa como lo haría cualquier otro grupo de cinco. Si éste fuera el caso, ¿cuál es la probabilidad de que el voto se dividiera por líneas
de género (cinco mujeres a favor, tres hombres en contra)?

# Problema 64 05:04
Un dado balanceado se tira seis veces y cada vez se registra el número de su cara superior, ¿Cuál es la probabilidad de que los números registrados sean 1, 2, 3, 4, 5 y 6 en cualquier orden?

# Problema 65 07:41
Consulte el Ejercicio 64. Suponga que el dado ha sido alterado para que las caras sean 1, 2, 3, 4, 5 y 5. Si el dado se tira cinco veces, ¿cuál es la probabilidad de que los números registrados sean 1, 2, 3, 4 y 5
en cualquier orden?

===Suscribete a nuestro canal en youtube===
http://www.youtube.com/academatica

===Siguenos en Facebook===
http://www.facebook.com/academatica

===Visitas nuestros sitios===
http://www.academatica.com","
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/rzzXYeoEm1I"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/rzzXYeoEm1I
2HNp8TBxXtk,Probabilidad - Problema 62,"# Problema 2.62 
Un fabricante tiene nueve motores distintos en existencia, dos de los cuales llegaron de un proveedor en particular. Los motores deben dividirse entre tres líneas de producción, con tres motores pasando a cada línea. Si la asignación de motores a líneas es aleatoria, encuentre la probabilidad de que ambos motores del proveedor particular sean asignados a la primera línea.

===Suscribete a nuestro canal en youtube===
http://www.youtube.com/academatica

===Siguenos en Facebook===
http://www.facebook.com/academatica

===Visitas nuestros sitios===
http://www.academatica.com","
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/2HNp8TBxXtk"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/2HNp8TBxXtk
lzlOVbeth1g,Probabilidad - Problema 61 - Paradoja Cumpleaños - Parte 2,"Suponga que preguntamos a n personas seleccionadas al azar si cumplen años el mismo día que usted.
 a Escriba una expresión para la probabilidad de que nadie comparta su cumpleaños con usted (pase por alto los años bisiestos).
 b ¿Cuántas personas es necesario seleccionar para que la probabilidad sea al menos .5 de que como mínimo una comparta cumpleaños con usted?

===Suscribete a nuestro canal en youtube===
http://www.youtube.com/academatica

===Siguenos en Facebook===
http://www.facebook.com/academatica

===Visitas nuestros sitios===
http://www.academatica.com","
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/lzlOVbeth1g"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/lzlOVbeth1g
b3ICiZlGXdc,Probabilidad - Problema 60 - Paradoja Cumpleaños - Parte 1,"Considere un experimento que consiste en registrar el cumpleaños para cada una de 20 personas seleccionadas al azar. Si no se presta atención a los años bisiestos y se supone que hay sólo 365 cumpleaños distintos posibles, encuentre el número de puntos del espacio muestral S para este experimento. Si suponemos que cada uno de los posibles conjuntos de cumpleaños es igualmente probable, ¿cuál es la probabilidad de que cada persona de las 20 tenga un cum-
pleaños diferente?

 Suponga que registramos el nacimiento para cada una de las n personas seleccionadas al azar.
a Escriba una expresión para la probabilidad de que ninguna comparta el mismo cumpleaños. 
b ¿Cuál es el valor más pequeño de n para que la probabilidad sea al menos .5 de que como mínimo dos
personas comparten el mismo cumpleaños?

===Suscribete a nuestro canal en youtube===
http://www.youtube.com/academatica

===Siguenos en Facebook===
http://www.facebook.com/academatica

===Visitas nuestros sitios===
http://www.academatica.com","
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/b3ICiZlGXdc"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/b3ICiZlGXdc
yspwVnChwOQ,Probabilidad -  Ejercicio 59,"#problema 59#
Se reparten cinco cartas de una baraja de 52 cartas.  ¿Cuál es la probabilidad de sacar 
a. 1 as, 1 dos, 1 tres, 1 cuatro y 1 cinco (esta es una forma de obtener una “escalera”)?,
b. cualquier escalera?

Problemas de probabilidad capitulo 2 libro estadistica matematica

===Suscribete a nuestro canal en youtube===
http://www.youtube.com/academatica

===Siguenos en Facebook===
http://www.facebook.com/academatica

===Visitas nuestros sitios===
http://www.academatica.com","
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/yspwVnChwOQ"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/yspwVnChwOQ
ae_JpNzrATU,Probabilidad - ejercicios 54 al 58,"Enunciados de cada problema asi como en donde aparecen en el video,

## Problema 54  00:00
Hay un grupo de tres pasantes y cinco estudiantes egresados para ocupar ciertos puestos gubernamentales para estudiantes. Si cuatro estudiantes se han de seleccionar al azar de entre este grupo, encuentre la probabilidad de que exactamente dos pasantes se encuentren entre los cuatro seleccionados.

##Problema 55 04:22
Se ha de realizar un estudio en un hospital para determinar las actitudes de los enfermeros hacia diversos procedimientos administrativos. Se ha de seleccionar una muestra de 10 enfermeros de entre un total de 90 enfermeros empleadas por el hospital.
a. ¿Cuántas muestras diferentes de 10 enfermeros se pueden seleccionar?
b. Veinte de los 90 enfermeros son hombres. Si 10 enfermeros se seleccionan al azar entre los empleados por el hospital, ¿cuál es la probabilidad de que la muestra de diez incluirá exactamente 4 hombres (y 6 mujeres) enfermeros?

## Problema 56 08:13
Una estudiante se prepara para un examen estudiando una lista de diez problemas. Ella puede resolver seis de ellos. Para el examen, el profesor selecciona cinco problemas al azar de los diez de la lista dada a los estudiantes. ¿Cuál es la probabilidad de que la estudiante pueda resolver los cinco problemas del
examen?

##Problema 57 11:25
Se sacan dos cartas de una baraja estándar de 52 cartas. ¿Cuál es la probabilidad de obtener un as y una figura?

##Problema 58 14:26
Se reparten cinco cartas de una baraja de 52 cartas. ¿Cuál es la probabilidad de sacar
a. 3 ases y 2 reyes?,
b. un “full” (tres cartas de una clase, 2 cartas de otra clase)?


===Suscribete a nuestro canal en youtube===
http://www.youtube.com/academatica

===Siguenos en Facebook===
http://www.facebook.com/academatica

===Visitas nuestros sitios===
http://www.academatica.com","
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/ae_JpNzrATU"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/ae_JpNzrATU
TdReXOj88j4,probabilidad - ejercicios 52 y 53,"## Ejercicio 52
Un experimentador desea investigar el efecto de tres variables: presión, temperatura y tipo de catalizador en el rendimiento de un proceso de refi nación. Si el experimentador trata de usar tres ajustes, cada uno para temperatura y presión y dos tipos de catalizadores, ¿cuántas series experimentales tendrán que ejecutarse si él desea realizar todas las posibles combinaciones de presión, temperatura y tipos de catalizadores?

## Ejercicio 53
Cinco compañías, F1, F2, … , F5, ofrecen cotizaciones para tres contratos separados C1, C2 y C3. A
cualquiera de las fi rmas se le otorgará un contrato a lo sumo. Los contratos son muy diferentes, de modo que una asignación de C1 a F1, por ejemplo, debe ser distinta de una asignación de C2 a F1.
a ¿Cuántos puntos muestrales hay en total en este experimento que involucra la asignación de contratos
a las fi rmas? (No es necesario indicarlos todos.)
b Dada la suposición de puntos muestrales igualmente probables, encuentre la probabilidad de que a F3 se le conceda un contrato.

===Suscribete a nuestro canal en youtube===
http://www.youtube.com/academatica

===Siguenos en Facebook===
http://www.facebook.com/academatica

===Visitas nuestros sitios===
http://www.academatica.com","
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/TdReXOj88j4"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/TdReXOj88j4
Ae7Ql0eKu64,Probabilidad - ejercicios 50 y 51,"## problema 50
La probabilidad desempeñó un papel en la manipulación de la lotería del estado de Pennsylvania del 24 de abril de 1980 (Los Angeles Times, 8 de septiembre de 1980). Para determinar cada uno de los dígitos del número ganador de tres dígitos, cada uno de los números 0, 1, 2,..., 9 se coloca en una pelota de ping‒pong, las diez pelotas se agitan con aire en un compartimento y el número seleccionado para el dígito es el de la bola que flota a la parte superior de la máquina. Para alterar las probabilidades, los conspiradores inyectaron un líquido en todas las bolas empleadas en el juego excepto las que tenían los números 4 y 6, haciendo casi seguro que las bolas más livianas fueran seleccionadas y determinar los dígitos del número ganador. Luego compraron billetes de lotería con los potenciales números ganadores. ¿Cuántos números ganadores potenciales hubo (al final 666 fue el ganador)?

## Problema 51
Una fraternidad local está realizando una rifa en la que se han de vender 50 boletos, uno por cliente. Hay tres premios para ser concedidos. Si los cuatro organizadores de la rifa compran un boleto cada uno, ¿cuál es la probabilidad de que los cuatro organizadores ganen
a. todos los premios?,
b. exactamente dos de los premios?,
c. exactamente uno de los premios?,
d. ninguno de los premios?
===Suscribete a nuestro canal en youtube===
http://www.youtube.com/academatica

===Siguenos en Facebook===
http://www.facebook.com/academatica

===Visitas nuestros sitios===
http://www.academatica.com","
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Ae7Ql0eKu64"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/Ae7Ql0eKu64
