Date,lat,lon,dep,yr,mag
1905-03-04,-4,149,0,1905,6.8
1905-03-18,-27.5,-173,60,1905,7.3
1905-03-18,-10,168,0,1905,7.2
1905-03-22,50,180,0,1905,7
1905-04-04,33,76,0,1905,7.8
1905-04-19,-32,-171,0,1905,6.8
1905-04-26,-21,-70,60,1905,6.8
1905-05-18,-4,149,0,1905,6.9
1905-06-02,34.1,132.5,55,1905,7
1905-06-14,-20,-175,0,1905,7
1905-06-30,-20,-175,0,1905,7.1
1905-07-06,37.4,141.8,35,1905,7.1
1905-07-06,42,132,100,1905,6.5
1905-07-09,49.4,97.3,0,1905,8
1905-07-11,49.5,97.3,20,1905,7
1905-07-11,22,143,450,1905,7.2
1905-07-14,49.5,97.3,20,1905,6.5
1905-07-23,49.3,94.9,0,1905,8.5
1905-08-25,43,131,500,1905,6.6
1905-09-01,45,143,250,1905,7.3
1905-09-08,39,16,0,1905,6.8
1905-09-15,55,165,0,1905,7.3
1905-09-26,29,74,60,1905,6.9
1905-10-21,42,42,60,1905,7.3
1905-11-08,40,24,0,1905,6.8
1905-12-04,38,37,60,1905,6.8
1905-12-10,50,180,0,1905,6.9
1905-12-17,17,-113,0,1905,7.1
1906-01-21,34,137,350,1906,7.7
1906-01-31,1,-80,0,1906,8.6
1906-02-19,-10,160,0,1906,7.1
1906-03-02,43,80,60,1906,7.1
1906-03-03,2,-90,0,1906,6.8
1906-03-16,23.6,120.4,5,1906,6.8
1906-04-10,20,-110,0,1906,7.2
1906-04-13,23.6,120.4,5,1906,7.1
1906-04-13,23.6,120.4,5,1906,6.9
1906-04-18,37.75,-122.55,10,1906,7.7
1906-06-01,0,145,0,1906,7.1
1906-06-19,20,122,60,1906,6.9
1906-06-24,15,92,60,1906,7.1
1906-08-17,50.6,178.36,0,1906,8.4
1906-08-17,-32.4,-71.4,0,1906,8.2
1906-08-19,-33,-72,0,1906,6.9
1906-08-25,9,39,0,1906,6.8
1906-08-26,-4,149,0,1906,7
1906-08-30,-21,-70,0,1906,7.1
1906-08-31,27,97,100,1906,6.7
1906-09-07,34,141,35,1906,7
1906-09-14,-7,149,0,1906,8
1906-09-17,-4,149,0,1906,6.8
1906-09-28,-2,-79,150,1906,7.5
1906-10-02,-4,149,0,1906,7.2
1906-10-08,52.5,154.5,200,1906,6.7
1906-10-17,19,121,60,1906,7.1
1906-10-24,40,68,0,1906,6.9
1906-10-24,36.5,68,32,1906,6.8
1906-11-14,-25,172,0,1906,6.9
1906-11-19,-22,109,0,1906,7.2
1906-12-03,15,-61,100,1906,7.2
1906-12-18,-19,-172,0,1906,6.8
1906-12-19,-19,-172,0,1906,7.2
1906-12-22,43.5,85,0,1906,7.2
1906-12-23,56.85,-153.9,0,1906,7.2
1906-12-26,-20,-73,0,1906,7
1907-01-02,-21.1,-175.1,0,1907,7.3
1907-01-04,2,94.5,50,1907,7.5
1907-01-08,-65,-30,0,1907,6.9
1907-02-03,-6,148,60,1907,7
1907-02-06,29,139,400,1907,6.9
1907-03-26,38,135,350,1907,6.6
1907-03-29,3,122,500,1907,7.2
1907-03-31,-18,-177,400,1907,7.2
1907-04-13,36.5,70.5,260,1907,6.8
1907-04-15,17,-100,0,1907,7.9
1907-04-18,14,123,0,1907,7.1
1907-04-18,13.5,123,0,1907,7
1907-05-04,-7.5,153.7,60,1907,7.5
1907-05-04,28,141,200,1907,6.9
1907-05-07,-2.8,144.5,0,1907,6.8
1907-05-25,50.5,148,600,1907,7.4
1907-06-01,0,-82,0,1907,7
1907-06-05,0,-86,0,1907,7
1907-06-13,-39.5,-73,0,1907,6.8
1907-06-25,1,127,200,1907,7.5
1907-06-27,-3,170,0,1907,6.8
1907-07-05,43.7,145.5,100,1907,6.6
1907-07-09,14,123,60,1907,6.8
1907-07-20,7.1,125.6,0,1907,6.8
1907-08-17,52,157,120,1907,7.2
1907-09-02,52,173,0,1907,7.3
1907-10-11,-15,167,0,1907,6.9
1907-10-16,28,-112.5,0,1907,7.2
1907-10-21,38,69,0,1907,7.2
1907-11-21,5.9,95.3,0,1907,6.8
1907-12-02,40.1,142.3,35,1907,6.7
1907-12-15,-3.1,142.5,0,1907,6.9
1907-12-23,43.8,145,150,1907,6.7
1907-12-25,36.5,70.5,240,1907,6.6
1907-12-30,12.1,-86.3,0,1907,7.2
1908-01-11,23,121.1,5,1908,6.8
1908-01-15,37.3,141.8,35,1908,7.1
1908-02-09,26,100,60,1908,7.1
1908-03-05,9,126,0,1908,6.9
1908-03-26,18,-99,80,1908,7.7
1908-03-27,17,-101,0,1908,7
1908-04-16,36.5,70.5,220,1908,6.6
1908-04-19,42,134,450,1908,6.7
1908-04-22,-38,48,0,1908,7
1908-05-03,43,146.5,35,1908,6.5
1908-05-05,3,123,0,1908,6.9
1908-05-15,59,-141,0,1908,7
1908-05-17,35,24,100,1908,6.6
1908-08-17,-60,-40,0,1908,7.2
1908-08-20,32,89,60,1908,6.8
1908-09-21,19,-155,0,1908,6.8
1908-10-06,45.5,26.5,150,1908,6.6
1908-10-13,18,-102,0,1908,6.9
1908-10-23,36.5,70.5,220,1908,6.9
1908-10-24,36.5,70.5,220,1908,7
1908-11-02,-2,97,0,1908,6.9
1908-11-06,45,150,0,1908,6.9
1908-12-12,-14,-78,60,1908,8
1908-12-12,26.5,97,0,1908,7
1908-12-28,38,15.5,0,1908,7
1909-01-23,33,53,0,1909,7
1909-02-09,40,38,60,1909,6.6
1909-02-22,-18,-179,550,1909,7.6
1909-02-26,5,-95,60,1909,6.9
1909-03-10,30.5,130.5,100,1909,6.5
1909-03-12,34.5,141.5,35,1909,6.9
1909-03-13,34.5,141.5,35,1909,7.6
1909-03-17,30.5,137.5,450,1909,6.7
1909-03-17,-2,121,0,1909,6.9
1909-03-22,35,141.5,35,1909,6.6
1909-04-10,-15,167,0,1909,6.9
1909-04-10,77.5,128,0,1909,6.6
1909-04-10,52,175,0,1909,7
1909-04-14,25,122.5,5,1909,7.1
1909-04-25,4,127,100,1909,7.1
1909-04-27,0,147,0,1909,7.1
1909-04-29,-35,53,0,1909,6.6
1909-05-17,-20,-64,250,1909,7
1909-05-30,-8,131,100,1909,7.1
1909-06-03,-2,101,0,1909,7.2
1909-06-08,-26.5,-70.5,0,1909,7.2
1909-06-12,-19,170,0,1909,6.9
1909-06-27,-10,162,0,1909,6.8
1909-07-07,36.5,70.5,230,1909,7.6
1909-07-30,17,-100.5,0,1909,7.6
1909-07-31,17,-100.5,0,1909,6.9
1909-08-04,28.8,90.5,0,1909,6.5
1909-08-14,35.4,136.3,5,1909,6.7
1909-08-16,10,-84,0,1909,6.8
1909-08-18,-22,172,100,1909,7.2
1909-09-08,52.5,-169,90,1909,7
1909-09-10,28,129,100,1909,6.6
1909-09-16,42,142,35,1909,6.8
1909-10-20,30,68,0,1909,7
1909-10-30,-6,131,250,1909,6.7
1909-10-31,8,-105,0,1909,6.9
1909-11-10,32.3,131.1,150,1909,7.5
1909-11-21,25.5,122,5,1909,7.1
1909-12-09,-8,161,0,1909,7
1909-12-09,12,144.5,50,1909,6.8
1910-01-01,16.5,-84,60,1910,7.1
1910-01-08,35,122,0,1910,6.6
1910-01-22,67.5,-17,0,1910,6.9
1910-01-23,12,-60.5,100,1910,6.9
1910-01-30,-22,170,0,1910,7
1910-02-03,-17,168,0,1910,6.8
1910-02-04,-17,168,0,1910,7
1910-02-12,33,138,350,1910,7.2
1910-02-18,36,24.5,150,1910,6.9
1910-03-30,-21,170,80,1910,7.1
1910-03-31,-71,-6,0,1910,7.1
1910-04-12,25,123,200,1910,7.6
1910-04-20,-20,-177,330,1910,7
1910-05-01,-20,169,80,1910,7.1
1910-05-13,57,-160,100,1910,6.6
1910-05-22,44,148,35,1910,6.9
1910-05-31,10,-105,0,1910,7
1910-06-01,-20,169,80,1910,7.3
1910-06-01,-20,169,80,1910,7.1
1910-06-09,30,139,400,1910,6.7
1910-06-16,-19,169.5,100,1910,7.9
1910-06-17,21,121,0,1910,6.8
1910-06-29,-32,-176,0,1910,7.2
1910-06-29,-28,-178,0,1910,6.9
1910-07-07,-12,108,0,1910,6.8
1910-07-12,37,76,120,1910,6.6
1910-07-29,-5,143,80,1910,6.7
1910-08-05,42,-127,0,1910,6.6
1910-08-21,-17,-179,600,1910,7.4
1910-09-01,21,122,0,1910,7
1910-09-01,24,122,0,1910,6.8
1910-09-06,-25,-70,0,1910,7.1
1910-09-07,-6,151,80,1910,7.2
1910-09-09,51.5,-176,25,1910,7
1910-09-24,17,-96,80,1910,6.7
1910-10-04,-22,-69,120,1910,7.2
1910-11-06,53,-135,0,1910,6.8
1910-11-09,-16,166,70,1910,7.5
1910-11-10,-14,166.5,90,1910,7.1
1910-11-14,24.5,122,0,1910,6.8
1910-11-15,-58,-22,60,1910,7.2
1910-11-26,-14,167,50,1910,7.2
1910-11-29,25,125,0,1910,6.9
1910-12-04,-10,140,0,1910,6.8
1910-12-10,-11,162.5,50,1910,7.2
1910-12-13,-8,31,0,1910,7.6
1910-12-14,-21,-178,600,1910,7.2
1910-12-16,4.5,126.5,0,1910,7.6
1911-01-01,38,66,50,1911,6.8
1911-01-03,43.5,77.5,0,1911,7.8
1911-02-18,40,73,0,1911,7.2
1911-02-23,27,128,5,1911,6.9
1911-03-06,6,126,100,1911,6.6
1911-03-24,24,123,35,1911,6.8
1911-04-04,36.5,25.5,140,1911,7
1911-04-10,9,-74,100,1911,7
1911-04-18,32,56,50,1911,6.5
1911-04-28,0,-71,600,1911,6.9
1911-05-04,51,157,240,1911,7.4
1911-06-07,17.5,-102.5,0,1911,7.6
1911-06-15,28,130,90,1911,8.1
1911-06-30,28.5,97.5,0,1911,6.5
1911-07-04,36,70.5,190,1911,7.4
1911-07-05,-7.5,117.5,370,1911,7
1911-07-11,-14,167,150,1911,6.7
1911-07-12,9,126,0,1911,7.5
1911-07-19,-29,-179,200,1911,6.7
1911-08-16,7,137,0,1911,7.7
1911-08-21,-21,-176,300,1911,7.2
1911-08-27,17,-96,100,1911,6.6
1911-09-06,46,143,350,1911,7
1911-09-12,-23,172.5,150,1911,6.6
1911-09-15,-20,-72,0,1911,7.1
1911-09-17,51,180,0,1911,7.1
1911-09-22,60.5,-149,60,1911,6.7
1911-10-06,19,-70.5,0,1911,6.8
1911-10-14,31,80.5,0,1911,6.6
1911-10-20,-12.5,166,160,1911,7
1911-10-29,11,-101,0,1911,6.6
1911-11-08,34.5,140.5,35,1911,6.5
1911-11-13,52,173,0,1911,6.9
1911-11-21,39,136,300,1911,6.6
1911-11-22,-15,169,200,1911,7.3
1911-12-16,17,-100.5,50,1911,7.6
1911-12-31,-2,143.5,0,1911,6.8
1912-01-04,52,-179,25,1912,6.7
1912-01-24,38,20.5,60,1912,6.6
1912-01-31,61,-147.5,80,1912,7
1912-03-25,-18,169,240,1912,6.9
1912-04-25,36.5,70.5,220,1912,6.6
1912-05-06,64,-20,0,1912,7
1912-05-11,-9,72,0,1912,6.6
1912-05-13,57,162,100,1912,6.6
1912-05-23,21,97,0,1912,7.7
1912-06-08,40.5,142,35,1912,6.6
1912-06-10,59,-153,0,1912,6.9
1912-06-12,17,-89,0,1912,6.6
1912-07-07,64,-147,0,1912,7.2
1912-07-09,3,33,0,1912,6.6
1912-07-24,-5,-80,0,1912,7
1912-07-24,31,137.5,450,1912,6.6
1912-08-06,-14,167,260,1912,7.3
1912-08-09,40.5,27,0,1912,7.6
1912-08-17,4,127,0,1912,7.2
1912-08-23,36.5,70.5,200,1912,6.6
1912-09-01,-4.5,155,430,1912,7
1912-09-29,7,138,50,1912,7.5
1912-10-18,54.6,179.2,60,1912,6.9
1912-10-26,14,146,130,1912,7
1912-10-31,7,138,0,1912,6.9
1912-11-07,57.5,-155,90,1912,7.3
1912-11-19,19,-100,80,1912,6.9
1912-12-05,57.5,-154,90,1912,6.9
1912-12-07,-29,-62.5,620,1912,7.3
1912-12-08,39,143.5,35,1912,6.6
1912-12-09,15.5,-93,0,1912,7.1
1912-12-23,0,123,50,1912,6.7
1912-12-24,24,121.6,0,1912,6.5
1913-01-07,23.8,121.7,0,1913,6.7
1913-01-08,23.8,121.7,0,1913,6.5
1913-01-11,1.5,122,0,1913,7.2
1913-01-19,1,88,0,1913,6.9
1913-01-19,46,151,150,1913,6.9
1913-02-14,-9,162,100,1913,6.6
1913-02-20,41,144,0,1913,7
1913-03-03,28,129,150,1913,6.6
1913-03-14,4.5,126.5,0,1913,7.9
1913-03-23,24,142,80,1913,7.1
1913-03-31,51,-179,60,1913,6.7
1913-04-02,32,132,35,1913,6.7
1913-04-13,32,132,35,1913,6.6
1913-04-25,9.5,128.8,0,1913,7.2
1913-05-08,-17,-174.5,200,1913,6.9
1913-05-18,14.5,145.5,0,1913,7
1913-05-30,-5,154,0,1913,7.7
1913-06-04,-1.5,150,0,1913,6.8
1913-06-14,43.5,25.5,0,1913,6.6
1913-06-22,48,-178,0,1913,7
1913-06-26,-20,-174,0,1913,7.7
1913-07-28,-17,-74,0,1913,7
1913-08-01,47.5,155.5,0,1913,7.5
1913-08-06,-17,-74,0,1913,7.8
1913-08-13,-5.5,105,75,1913,7.3
1913-10-11,-7,148,0,1913,7
1913-10-11,40,144,35,1913,6.9
1913-10-12,40,144,35,1913,6.6
1913-10-14,-19.5,169,230,1913,7.6
1913-11-10,-18,169,80,1913,7.2
1913-11-15,-23,171,150,1913,7.1
1913-12-21,24.5,102,0,1913,7.2
1914-01-12,31.6,130.6,5,1914,6.7
1914-01-20,52.9,159.6,60,1914,7
1914-01-30,-35,-73,0,1914,7.5
1914-02-06,29.5,65,100,1914,6.8
1914-02-07,41,143,35,1914,6.8
1914-02-26,-18,-67,130,1914,7.2
1914-03-14,39.5,140.4,5,1914,7
1914-03-28,25,99,100,1914,6.7
1914-03-30,17,-92,150,1914,7.2
1914-04-11,-12,163,50,1914,7.2
1914-05-26,-2,137,0,1914,7.9
1914-05-28,9,-78,70,1914,6.9
1914-06-20,-12,166,50,1914,7
1914-06-25,-4.5,102.5,0,1914,7.6
1914-07-04,29,128,200,1914,6.7
1914-07-04,-5.5,129,200,1914,7.1
1914-07-06,24,122,60,1914,6.6
1914-08-04,43.5,91.5,0,1914,7.2
1914-08-06,-6,123,600,1914,6.7
1914-08-22,44,-129,0,1914,6.6
1914-09-11,44,148,35,1914,6.5
1914-10-03,16,-61,100,1914,7.4
1914-10-03,37.5,32.5,0,1914,7.1
1914-10-09,35,78,0,1914,6.6
1914-10-11,12,94,80,1914,7.2
1914-10-23,6,132.5,0,1914,7.6
1914-11-22,-39,176,100,1914,7
1914-11-24,22,143,110,1914,7.9
1914-11-28,29,131,35,1914,6.9
1915-01-05,-15,168,200,1915,7.3
1915-01-05,25.1,123.3,150,1915,7.3
1915-01-13,42,13.5,0,1915,6.9
1915-02-25,-20,180,600,1915,7.1
1915-02-28,23.6,123.5,0,1915,7.5
1915-03-08,39,142,0,1915,6.8
1915-03-12,12,124,40,1915,6.6
1915-03-17,42.1,143.6,35,1915,7.2
1915-04-23,-8,-68,650,1915,6.9
1915-05-01,47.5,154.5,35,1915,7.9
1915-05-06,39.5,-126.5,0,1915,6.6
1915-05-08,-23,39,0,1915,6.6
1915-06-01,78.5,8,0,1915,6.6
1915-06-04,40,143.5,35,1915,6.7
1915-06-06,-18.5,-68.5,160,1915,7.3
1915-06-27,44,148,35,1915,6.5
1915-07-31,54,162,0,1915,7.5
1915-08-06,43,150.5,0,1915,7.1
1915-08-12,-2.5,119.5,60,1915,6.6
1915-09-07,14,-89,80,1915,7.4
1915-09-11,5.5,123.5,600,1915,6.6
1915-09-23,16,39,0,1915,6.6
1915-10-03,40.5,-117.5,0,1915,7.6
1915-10-08,32.8,139.1,200,1915,7
1915-10-11,19,-67,0,1915,6.6
1915-10-12,39,144,35,1915,6.8
1915-11-01,38.3,142.9,35,1915,7.5
1915-11-01,38,143,35,1915,6.7
1915-11-01,38,143,35,1915,7
1915-11-18,37.7,143.1,35,1915,7
1915-11-21,32,-115,0,1915,7.1
1915-12-03,29.5,91.5,0,1915,7
1915-12-06,41,145,35,1915,6.5
1915-12-17,42,79.5,0,1915,6.5
1916-01-01,-4,154,0,1916,7.7
1916-01-13,-3,136,0,1916,7.3
1916-01-13,-3,135.5,0,1916,7.6
1916-01-24,41,37,0,1916,7.2
1916-01-25,45,144,250,1916,6.9
1916-02-01,29.5,131.5,0,1916,7.4
1916-02-06,45,151,35,1916,6.7
1916-02-06,48.5,178.5,0,1916,7.5
1916-02-27,12,-90,0,1916,7.3
1916-03-18,41.5,144.5,35,1916,6.6
1916-03-25,24,124,0,1916,6.5
1916-04-07,-30,55,0,1916,7.2
1916-04-14,32.5,142,35,1916,6.6
1916-04-18,53.25,-170,170,1916,7.4
1916-04-21,32.5,141.8,35,1916,7
1916-04-24,18.5,-68,80,1916,7
1916-04-24,11,-85,0,1916,7.2
1916-04-26,10,-85,0,1916,7.1
1916-06-02,17.5,-95,150,1916,7
1916-06-21,-28.5,-63,600,1916,7.4
1916-07-08,-18,180,600,1916,7.1
1916-07-16,39.5,144,35,1916,6.8
1916-07-27,4,96.5,100,1916,7
1916-08-03,-4,144.5,0,1916,7.1
1916-08-25,-21,-68,180,1916,7
1916-08-27,37.2,141.1,35,1916,6.8
1916-08-28,30,81,0,1916,7.2
1916-08-28,23.9,120.5,5,1916,7.2
1916-09-11,-9,113,100,1916,7.1
1916-09-15,34.4,141.2,35,1916,7.1
1916-10-03,-14,-74.5,0,1916,7.1
1916-10-28,46,146,100,1916,6.5
1916-10-31,45.4,154,0,1916,7.6
1916-11-24,39.2,142.7,35,1916,6.6
1916-11-30,19,-70,0,1916,6.6
1917-01-04,21.9,120.9,0,1917,6.5
1917-01-06,22,121,0,1917,6.5
1917-01-24,31,114,0,1917,6.5
1917-01-30,56.5,163,0,1917,7.7
1917-02-15,-30,-73,0,1917,6.8
1917-02-20,19.5,-78.5,0,1917,7.2
1917-03-15,39.7,144.1,0,1917,6.9
1917-04-21,37,70.5,220,1917,7.1
1917-05-01,-29,-177,0,1917,8.1
1917-05-31,54.5,-160,0,1917,7.5
1917-06-24,-21,-174,60,1917,6.6
1917-06-26,-14.37,-173.35,0,1917,8
1917-07-04,25,123,0,1917,7.2
1917-07-04,25,123,0,1917,7
1917-07-27,19,-67.5,50,1917,7
1917-07-27,-31,-70,60,1917,6.9
1917-07-29,41,144,0,1917,7
1917-07-29,-3.5,141,0,1917,7.6
1917-07-30,29,104,0,1917,7.3
1917-07-31,42,131,500,1917,7.4
1917-08-30,-7.5,128,100,1917,7.3
1917-08-31,4,-74,0,1917,7.1
1917-11-04,4.8,96.8,0,1917,7.1
1917-11-16,-29,-177.5,0,1917,7.3
1917-12-29,15,-97,0,1917,7.5
1918-01-30,45.447,136.741,330.4,1918,7.4
1918-02-07,6.778,126.688,218.1,1918,7.2
1918-02-13,23.54,117.243,15,1918,7.2
1918-04-10,43.476,130.919,564.9,1918,7
1918-04-21,33.812,-117.44,15,1918,6.6
1918-05-20,7.341,-34.802,15,1918,7.1
1918-05-20,-28.899,-71.893,35,1918,7.6
1918-05-20,-2.341,152.973,35,1918,6.5
1918-05-22,-17.47,-176.486,35,1918,7.1
1918-05-23,27.753,-110.933,15,1918,6.6
1918-05-25,-31.108,-92.109,15,1918,6.6
1918-07-03,-3.471,143.217,35,1918,7.2
1918-07-08,24.809,90.725,15,1918,7.5
1918-07-25,36.2,142.3,35,1918,6.7
1918-08-15,5.653,123.563,35,1918,8.2
1918-08-15,5.232,125.886,35,1918,6.9
1918-09-07,46.812,150.253,242.4,1918,7.6
1918-09-22,-1.634,98.378,35,1918,6.6
1918-09-22,45,150,35,1918,6.7
1918-09-30,-23.363,171.469,35,1918,6.6
1918-10-11,18.473,-67.631,35,1918,7.3
1918-10-14,-20.902,-173.296,35,1918,6.6
1918-10-27,-1.121,150.278,35,1918,7.2
1918-11-03,-49.885,163.001,15,1918,6.6
1918-11-08,43.816,152.775,63.5,1918,7.5
1918-11-11,36.5,137.9,5,1918,6.5
1918-11-18,-7.168,129.21,35,1918,7.5
1918-11-23,-8.283,126.567,217.9,1918,7.1
1918-12-04,-27.275,-73.464,25,1918,7.5
1918-12-06,50.662,-122.964,15,1918,6.8
1918-12-25,-7.073,152.652,458.9,1918,6.6
1919-01-01,7.184,126.937,35,1919,7.1
1919-01-01,-19.971,-177.914,202.7,1919,7.7
1919-03-02,-41.401,-72.222,15,1919,7.2
1919-03-02,-42.284,-76.452,15,1919,7.1
1919-04-17,-30.924,-177.725,35,1919,6.9
1919-04-17,14.039,-92.288,25,1919,6.9
1919-04-30,-18.42,-173.43,35,1919,8.2
1919-05-03,41.007,145.233,35,1919,7.3
1919-05-06,-5.477,152.629,232.8,1919,7.6
1919-06-01,27.074,123.315,35,1919,7.1
1919-06-29,11.935,-88.289,35,1919,6.6
1919-07-08,-9.834,37.343,15,1919,6.6
1919-08-03,36,142.5,35,1919,6.7
1919-08-18,-19.762,-178.108,214.6,1919,7
1919-08-29,-2.682,127.493,35,1919,7
1919-08-31,-15.88,167.337,35,1919,7.3
1919-11-20,-12.675,166.434,113,1919,6.8
1919-12-20,22.5,122.5,35,1919,7.1
1919-12-20,23.536,121.212,35,1919,7
1920-02-02,-6.474,151.685,35,1920,7.6
1920-02-07,40.6,143,35,1920,6.7
1920-02-22,47.25,146.238,355.1,1920,7.1
1920-03-20,-35.697,-110.833,15,1920,7
1920-04-11,47.5,153,100,1920,6.9
1920-04-19,17.242,-97.19,35,1920,6.6
1920-05-06,43,131.5,500,1920,6.5
1920-05-12,34.83,139.476,150,1920,6.6
1920-05-20,-12.339,166.527,84.7,1920,6.6
1920-06-05,23.813,122.08,35,1920,7.9
1920-08-03,5.881,127.691,345.2,1920,6.6
1920-08-03,-27.308,-68.267,35,1920,6.6
1920-08-15,-11.887,165.8,35,1920,6.6
1920-09-16,41.6,142.1,35,1920,6.5
1920-09-20,-19.919,168.53,35,1920,7.8
1920-10-18,45.548,149.401,35,1920,7.1
1920-12-10,-39.456,-74.988,35,1920,7.2
1920-12-16,36.601,105.317,25,1920,8
1920-12-19,37.3,141,35,1920,6.8
1921-01-02,44.5,149.5,35,1921,6.8
1921-02-04,15.411,-90.78,35,1921,7.4
1921-02-19,-2.047,139.624,35,1921,6.6
1921-02-27,-18.647,-173.185,35,1921,7.1
1921-03-03,37.7,141.5,35,1921,6.9
1921-03-28,13.356,-87.361,35,1921,7.2
1921-03-30,-7.118,127.71,170,1921,6.6
1921-04-01,1.665,98.66,35,1921,6.6
1921-04-02,23,123,35,1921,7.2
1921-05-20,35.62,70.76,35,1921,6.6
1921-06-28,-39.421,177.351,150,1921,6.6
1921-07-04,28.885,129.915,35,1921,7.4
1921-09-11,-13.095,110.177,25,1921,7.3
1921-09-13,-56.259,-28.622,35,1921,7
