id,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
ENO0mr97NVw,541,9,1,0,1
pVEFutXgplc,1056,14,0,0,1
DMEB-OnKW5A,1492,30,0,0,1
1-v8LfELriU,2100,20,1,0,1
jjjgsu49Tyo,3199,27,0,0,7
aIB94_aTPAI,11196,71,13,0,14
n_Psknyd288,622,7,0,0,0
NgfFwRM0QuY,3377,45,0,0,8
VEY99t_dTvg,202,0,1,0,9
p-2I-fra7og,143,1,0,0,5
rATHtWg816U,890,6,0,0,0
VoR9wHHMbqE,503,5,1,0,1
4R3eLkgr_Mo,808,8,0,0,0
1d1IX91xcJo,642,12,0,0,0
2rn0KiAKMZg,1001,9,2,0,1
DIhnaOfbDz0,1739,18,1,0,1
Qv_hDaSAttk,6429,102,3,0,13
GlzA1aekBmg,1134,16,1,0,8
FB5oDSWRefU,1281,18,0,0,0
fzZBpgm22PI,7968,69,2,0,4
0T8iHwGu1p4,2146,14,3,0,1
fHdXQYNQnlE,4587,35,1,0,5
MKDNmW_ckjE,13165,99,5,0,3
hX6llK2mA3c,2616,18,0,0,0
dbswHd0Yu8Q,445,5,0,0,1
KAN-gEEBGsQ,718,7,1,0,0
9EGIrFrATnU,3004,22,3,0,5
A-5mlhqnduA,4288,32,2,0,2
mHAbIjVntS8,12054,103,3,0,3
ctZ4VWsSkuM,802,9,0,0,1
Fp8HpRnKkPc,1145,6,8,0,3
tiMdXkxGqaI,1700,15,0,0,3
KuH7_5_uQJM,3274,22,1,0,0
04hhpia3TdQ,8443,51,6,0,1
ttkxy1bMkgQ,20974,130,11,0,7
QGMYzKSe5KY,2082,18,3,0,0
fYPh7XmJ894,4671,34,3,0,2
V_rE5My3PqY,3107,31,2,0,1
nnjAiI2Hjvg,910,20,0,0,1
XtUWn357rGA,3523,63,4,0,3
VTAAA9a1low,9750,123,11,0,9
qEMpCnPKORA,12899,67,4,0,4
T5BgTr37y2A,51224,261,93,0,18
EkOeacOfnX4,15738,104,5,0,11
7hcxmVU7t74,3579,22,11,0,1
R59m9SfuO3M,4545,28,6,0,8
W0Gan9b1Fi8,5874,69,5,0,3
jn6GpD2cDxs,2500,19,1,0,1
FgqJpbKoS_Q,3796,15,2,0,4
YHDrDFYpkTk,8016,22,4,0,2
augm1FR5bP8,14114,65,7,0,5
SuPsBOel0sM,11349,61,3,0,12
r_UsEl4ixL4,19826,95,10,0,22
sPGSc9ohysk,28,0,0,0,0
It2UECFVbao,3,0,0,0,0
w_JMdrdyL10,16,0,0,0,0
pHNwFloNIrY,3324,18,0,0,2
trdvwF0Pso8,3369,9,1,0,1
zZrD8JIvYxo,3121,18,0,0,2
9XGUCcPqwCA,5761,34,2,0,2
h31F5Up3S6U,42,2,0,0,0
sCcOZfHGKu8,2094,5,0,0,3
k6MREnf7iXI,1853,6,0,0,0
zir7Q07N6rY,1964,6,0,0,3
pdgpKH9HIWc,2094,5,0,0,0
ud0Iy5LcFrs,2205,5,1,0,2
cD5XTynvpdI,2382,9,0,0,1
Mxync3hJ8G4,2630,14,0,0,0
C_QRQCFWfkQ,4456,28,3,0,0
SYchneftWPw,25862,122,9,0,13
x29KA819cCc,58748,346,38,0,23
7gyNzH5DztQ,2777,11,0,0,0
PjmpIvAdaaA,2031,10,1,0,0
Pb3Og30aQX8,1681,6,0,0,0
T0SYp7TdDms,1178,7,0,0,0
JdPN6SZJNdo,2817,5,0,0,2
9Ogm_9E6qiI,1352,6,0,0,0
WnJeNpReTgA,2414,6,2,0,0
UCv-c9AOau4,1165,6,0,0,0
6TMx3j_Wv-o,1246,5,0,0,0
UWWV38VihYM,2090,13,1,0,1
o0mh6Mz-wOY,2510,8,2,0,0
mXNH5kbSTZw,1646,11,0,0,0
Xs96hgUj-Cc,2798,17,0,0,1
hgH-0SSRlWk,2460,9,0,0,1
Ak0M4r_snkQ,2923,11,0,0,0
59ViAtKOe90,68753,313,19,0,21
Gm5uJU5A1fA,1753,8,3,0,1
1zFCpUFhGRc,1597,11,0,0,0
hC594Bm7l18,1975,6,2,0,0
zpLN1uNV81I,29800,149,87,0,16
90X8D0gW5t8,2232,13,1,0,0
um9ccaaa220,1430,2,0,0,0
N2fJ6WPI5xI,1263,3,1,0,2
4LsmLpztTMg,1395,4,1,0,0
He7_gKjw5go,10188,22,2,0,2
Gbc0PGwT_nY,8080,32,3,0,1
CspxxGyikRU,9677,30,1,0,2
jjY2tQmd94E,13365,37,4,0,4
RtUkNDFowO4,13341,32,5,0,2
2PkxgrKkzzI,104231,248,125,0,34
sRUubDmulFg,4277,29,0,0,0
7BQhpkI_hJ8,1231,14,0,0,0
iGbdFWAEFTQ,1821,2,0,0,0
cZIZstVW3RY,1552,1,1,0,1
fh7XCrp39Mc,1405,4,0,0,0
gK6Ecj3vaZA,1733,9,0,0,0
AYy_InSfjic,1073,1,0,0,0
5-dVGqG4mp8,1756,4,0,0,0
NkkO-hZpmBA,2163,7,0,0,0
TUqcdTkbkvM,2334,16,1,0,1
Gv-ry11jhNo,10755,47,7,0,1
AZVqj2Vb5Ms,7723,45,8,0,3
AaFDclzDr3o,9392,57,7,0,13
e5zacYV6gDc,14295,76,19,0,14
b_5LK57O0xY,5641,83,5,0,7
NbVWYmC2x7I,4496,31,1,0,3
AgjOjJs3TXE,1443,17,1,0,0
SRa8MkpxUjs,1791,11,0,0,0
RlhvZ-90PmI,3640,20,0,0,1
tVreUxYjPQs,38465,130,9,0,8
J_gNWxRG2JI,23722,189,7,0,4
ynBoxNhFlkc,100375,425,33,0,37
-MuMSIew1Oo,77342,415,23,0,14
FUdihyhQfOs,136488,772,75,0,22
kpXY9l8EAE4,728,1,0,0,0
HU7_ViBZ354,446,0,0,0,0
uWHyyMLvYbo,441,0,0,0,0
AUXlTdMTL1c,586,1,0,0,2
2R2OBvRE0pQ,55365,155,66,0,15
1P5wCsA3bR0,9875,53,3,0,8
gKhqRckm5Jk,13480,123,0,0,3
fQW_d41kvU4,54615,376,36,0,10
Z-n0dC6GbKM,1451,2,1,0,0
tAVL4z4mlfY,3311,0,5,0,0
iDaC4LUuzhw,1318,2,0,0,0
dMaeiTfJG3g,1224,0,0,0,0
FBcmr2i_cwM,1335,0,0,0,0
KDYvH8LwpTA,21237,64,5,0,0
HorqAygclGM,16942,114,28,0,20
KTBYjBrp5Hw,14334,116,6,0,11
kgokKiPXSQc,33993,68,21,0,10
sPzKcWnPlSI,5765,21,3,0,0
TvWX0Zg0LyI,78043,238,44,0,28
dA970vIjYcs,4048,49,3,0,5
EkQPmqkvacM,53647,202,49,0,7
3eKZwokAwtw,4410,29,0,0,2
_YVyheaWL5k,5477,33,2,0,6
FZPLvakVHyI,9943,67,7,0,0
oQ6R91J727o,4599,36,1,0,3
xTyiXD12sko,31116,132,28,0,16
04VTlQ37C08,76076,279,37,0,15
m8-MPxS06qc,146240,615,68,0,30
T8Ixh12QHQA,1633,6,1,0,2
1KqLvtBk6hQ,3817,12,0,0,1
eCq2LT5y7vU,3795,20,2,0,2
EjAMPByf4ZI,6056,22,4,0,1
6L59Wie11Go,40820,92,23,0,5
-D4vlF-QuBA,37049,141,14,0,13
Jog61C0SNdM,16141,50,17,0,1
6OMotQo7aEE,38877,275,57,0,23
LD_QeH_EWnw,9337,43,7,0,1
uFBxJV7qEsE,2932,18,2,0,3
Ygr6ypSmsQw,1234,6,0,0,0
nnj6AI4rEwg,1924,4,0,0,0
nVuNwomqfGc,3511,10,3,0,0
3auRcyU4TxU,1255,14,1,0,0
j_G5XMJ6qnM,14913,91,13,0,5
gbZ3b0bKOZk,1416,7,0,0,1
Je-wsYL5Fwk,12885,65,16,0,2
nSAYn9LyL6o,15486,106,17,0,10
YCG4Bm0DvO0,1007,2,0,0,0
YnlZNLzdXWE,1049,1,0,0,0
hO3T-koqT5U,10866,32,10,0,1
kQJa81-COhw,25607,77,18,0,2
I7Wjp2zgx0w,47520,180,35,0,6
5hhHwzviS3w,4341,17,1,0,1
RaR2g-h-WoI,128907,1447,71,0,85
qYS0fZqMoH0,37650,145,37,0,17
RTxq30I_DTs,2002,20,1,0,0
xqk754wgGtA,6809,19,20,0,8
EzWUV7CKbow,9132,18,6,0,3
crLk_38PZ9U,6197,26,13,0,3
fBCUEXNouNw,49042,175,84,0,24
pJejOwbSukY,37907,102,53,0,9
Rqc64bYR82g,87536,289,110,0,25
9WLraOYNcnU,32117,137,28,0,6
oiHHZTAOjBs,50719,190,28,0,7
MMxcN5y5gFw,32735,126,15,0,9
pLp5QrD9DzM,15922,73,8,0,9
8g-GTNjXSds,22290,156,15,0,16
F88lDfpDq1U,21137,148,9,0,17
tw3e0pn9Ezc,47406,234,59,0,49
MHsYwA6tiKA,59601,274,45,0,51
-2WTs-eD6JE,85798,445,106,0,75
JXegiEZ-Qn8,107791,618,69,0,40
klOWp2SYycc,67940,190,28,0,8
cgX55MEnrmU,61399,171,92,0,20
3EKndPO8Pxs,41399,110,26,0,9
sjtF8YKqsjM,31068,106,10,0,7
91cZjbkEi1g,139444,654,93,0,29
qKtqobWu2z4,19280,94,67,0,13
pI8tEVemM4Q,19676,76,8,0,8
htxzrziU6fo,20434,74,23,0,6
ShfIfCQGEHU,45571,218,37,0,15
7XIHmslyM74,49400,333,38,0,22
Czs-MX_lQvo,10925,64,6,0,0
e530I2a7URc,12982,49,4,0,6
A-vzX4w1T3c,29785,78,16,0,6
u9NdlZvf0O8,58463,116,38,0,24
ePj1prmEYrY,56950,346,39,0,14
C9i7ZVHJZJE,130885,559,139,0,31
iH6PQnfcd8o,76048,183,123,0,8
x_XDSFicS3A,16092,95,3,0,10
zUN82YoZ3DA,20762,117,8,0,5
5vfj_EfwfyI,61436,308,34,0,21
4uj7L4SBKNw,14206,66,5,0,6
R_rgbk8RkzE,13522,62,5,0,7
nLvucJjcFg4,26430,201,7,0,11
9rIE4gEVepA,17746,108,4,0,2
GhJtSO5obxA,93420,477,33,0,22
tnN2IO4P9ps,1045,7,0,0,0
RgOOR1PqY9c,1302,13,0,0,0
dwtBa07rzX0,2102,12,0,0,0
72xMCaF5nds,8848,78,6,0,7
Z854tgFh4g8,8723,54,3,0,3
lsCKfRbcmjE,29816,179,35,0,2
lZhAI3yH1Dc,71883,338,25,0,26
sAgvk5FKSlY,8688,106,2,0,8
tir6gulRTwY,10247,105,15,0,19
4jIzd5yNIGI,41094,282,30,0,16
41PnFu6ARQc,26802,122,10,0,8
gcCbvvK8JDo,50942,178,15,0,17
pT5gOwSCSbE,30775,107,12,0,12
1YFnUqSeVo0,177150,315,202,0,61
Y3qFr3BXT9w,57859,306,17,0,19
QSJ2gVtaN70,105431,461,61,0,32
tdspLQUXMJ0,24333,150,31,0,14
SdM1fFe1LJw,18110,232,8,0,13
gIx516DLljI,40656,252,46,0,18
cEnxM1U_ErE,42574,289,28,0,25
arTOwykW158,8384,42,2,0,2
fyIIGNMGDMs,3632,12,1,0,0
nyE3W5GxBPs,6809,20,4,0,4
T53fWyIpY7w,5503,26,3,0,1
yKkOmTP_yK8,3846,9,1,0,1
_NznBOBEPeg,1383,6,0,0,0
kGfNImdNzbg,24294,40,10,0,5
8LDogFiCyqc,6207,12,2,0,1
WmYEjXzrQUA,15323,81,11,0,12
WqNReRxxW2M,14200,92,10,0,10
iNSDx_-40Hc,9101,96,5,0,6
dhhmhSAOEug,46621,196,38,0,27
NjHyiEZRhxI,15525,124,12,0,13
xMVVFJpQXVs,28592,83,32,0,22
XnKBetUM5xE,14913,71,7,0,4
LfcVTichhiI,53445,157,50,0,24
6_fuOxaJKps,92439,372,33,0,21
KbMAqi2tOJU,23311,123,10,0,11
TZ15zNvojMU,2094,6,1,0,3
eezfOl25A6c,442,4,0,0,0
rho9Zwmne8c,2531,13,1,0,0
oodcHt_OfQk,6872,20,2,0,1
Lr6MADE211U,2875,18,2,0,1
J_6bUVW26ro,57402,252,15,0,20
9igaYRl94uk,11299,91,3,0,10
ZMjm5qR9o00,25135,137,5,0,13
yUnrzqaxhxA,115758,439,58,0,12
ebVl4AiHqqA,15658,66,5,0,13
n5HxR--OzoM,22653,95,15,0,5
yBv3fb_vlkk,5235,36,0,0,2
pnfCX0ZVYic,147938,782,145,0,61
CfCu6SmoWCU,6245,44,1,0,0
-tT9tFyFSKA,15381,85,5,0,8
jtGYI9H2DCc,37390,190,23,0,15
_2AqkIL0Obs,5800,80,1,0,5
2oMuASFTAiE,18557,93,23,0,9
-1q-1RrZE00,16606,92,53,0,12
Z372QFk9r00,12935,85,7,0,6
KRWb5bt8u8M,56308,365,19,0,9
gfbWP0qNsBg,23586,92,11,0,8
UTNSNGy0PGs,26351,179,19,0,13
45AZslZzMiQ,39541,268,24,0,19
GiccvaMjfvw,11001,58,12,0,6
cjTV2c91j8Y,3186,17,8,0,3
0MQis5OZYyQ,3186,25,0,0,0
nnb05kuMfbo,1758,5,1,0,0
EF7bwjbsxvo,8353,61,4,0,6
TAz9vzHfcEU,6729,32,9,0,2
csZ9ECCh-OE,9820,51,4,0,1
XPkeBH_Ox8c,74474,262,27,0,20
R0qysBqGMCk,37197,89,32,0,12
E9TL4AgMzbc,114488,419,58,0,18
kDU8uxZQ6XY,8961,24,2,0,2
34TQd590oS0,18760,61,12,0,4
IWw9dS5dJ7A,6920,32,1,0,4
wei_M6OeAiY,20709,93,6,0,3
mvwwFXLKttQ,25694,120,4,0,21
XMBtl7Gzmqg,66537,541,23,0,33
8_L3rV9hDOE,80487,618,75,0,52
kuYDcGIsHwo,86095,813,41,0,38
ODG7PqIVwNg,110525,541,192,0,76
4IXfrfvFUgI,47996,260,39,0,33
bFTJvx5RjAw,61043,260,27,0,25
wtvlyFDx63o,249916,1183,63,0,136
XSZYdTgMMp8,51145,193,29,0,46
JIFVHPdSjIE,83969,617,49,0,72
ySfYo4wxYoM,124086,503,61,0,47
O2afN6p84bY,9612,53,2,0,3
k19rVsz-WCA,27058,126,47,0,14
txX_bjprE_k,9044,39,2,0,2
N6ElxJ8fs7M,11449,45,5,0,3
6DYpb-FJ-FU,18124,85,11,0,18
OklmAuRi2SQ,21617,93,3,0,8
I1VeWysrED0,36828,131,5,0,11
Uitb0EHh2a0,195278,685,131,0,57
MP1KfHYgyv4,149983,1073,94,0,90
xKyL1OO47Ls,307770,1753,223,0,199
k3u9Yc3FXUg,8216,73,5,0,3
URLadxLnVZY,96006,544,44,0,37
w8xndy5F7_8,17831,93,9,0,7
uqzpT81DKZY,60009,274,61,0,19
FQI6O-SVKew,2510,10,2,0,1
gE884bWxvUY,7051,16,4,0,3
5dE2Fa3mqWw,11125,76,17,0,3
4kUN04pGE5o,9221,72,7,0,9
RzV8WVQSjJA,26039,176,17,0,10
Si4E6VRz9h0,15489,169,14,0,9
hR8Xw098rdc,316360,2605,155,0,165
jgFAfjUnhEw,2554,30,0,0,4
Q9VtQCY4CS0,2011,10,1,0,0
65ohYrGSYlU,3890,19,4,0,2
IYhJHdZBTvU,5367,11,1,0,2
FUKmKxpjWKQ,3837,20,2,0,1
LAhsGyFujxc,14388,80,13,0,11
7hHl0Dqg2zk,25593,103,9,0,10
Zzyh01ye1Pk,19231,96,8,0,14
4q4ztHiL_cE,58875,245,40,0,19
mspaFU3pOKI,219830,841,97,0,64
0l_yuSA6QPM,4728,30,9,0,2
6R_aS5lcZm4,9377,19,4,0,1
404DX3cnpaY,75684,240,50,0,22
b-E_FRZq_1U,25524,146,7,0,25
GicHvMzQHks,91796,532,57,0,25
dtGjNp0WpOU,26198,201,21,0,22
o0mZylmwuC0,18303,154,14,0,10
HXXJ8S1eg_A,20975,149,10,0,14
1WvjpPNQH58,37944,150,17,0,6
mCQdNCquKsY,26476,69,11,0,14
zgx-DxFxYsg,206341,684,151,0,73
hKpIyllWHcQ,34535,154,7,0,10
62BsIQjbkUo,6797,56,1,0,5
0TiH5ZakojY,29815,139,26,0,19
0gy4RJhDZl0,30490,72,6,0,5
8hVnSn_ZB1w,13709,77,6,0,3
0_aRe5qLpH0,48457,185,53,0,9
znwRIZOk3yo,107486,350,93,0,37
9IkrgCboL1k,2277,12,1,0,1
TsdtghqEuoM,2519,18,0,0,3
8hLs2X9VpiI,136208,428,94,0,38
P9G67cRk9vs,86896,324,32,0,22
wcLmaFEf_DA,138787,580,75,0,39
Uemw_Ec-IM0,230450,913,94,0,39
jCyELlhbYaY,8109,41,3,0,3
xJUFLG-Qxoc,27813,92,27,0,5
S0TqWVVhIDw,36823,253,37,0,7
oN9iyLKt5g8,30382,86,22,0,8
jxoTp1JVGtI,18925,81,19,0,6
FyTOPDkVkBw,24519,87,25,0,9
8Tj4iRpxlh8,56023,227,36,0,25
fQootvigyeg,34881,204,10,0,9
SVoq7BVARvA,77266,783,31,0,39
vYo3Ekt0F98,135234,64,12,0,2
iTaOnuz11v4,26989,188,8,0,11
FvRSLcoG2og,28785,148,38,0,13
F1DVFLmbDNk,255440,1076,94,0,86
ELp0s2txH40,173373,966,57,0,68
ZXEUXk43UW4,63603,339,30,0,17
N0kE2KX4X9g,63281,361,30,0,21
Z9EJ0sCDgOE,142614,844,126,0,92
Q9o8sZ8m4II,431433,2543,148,0,138
KrXdiEb1iO8,19342,123,9,0,8
GBo6nwrtqXk,736,6,0,0,0
3ifqD_18DLU,47512,235,73,0,12
Z5wiSLs4y9k,76635,342,84,0,52
eAqKKDwmWdc,18826,47,39,0,10
5jNJVpxs10U,51621,328,12,0,15
MiHpezNEl_Q,327706,1468,81,0,89
x1tPgXS5R78,91613,649,26,0,62
ghttzYL5GfE,4383,13,2,0,6
7oIXwHAXzJw,895,11,0,0,3
9RNDRfzgqIg,16219,66,57,0,6
owqWXgf9alg,99878,296,14,0,47
ltQ76HsqnuU,68376,500,30,0,17
iwErGc3RWmM,40684,297,26,0,23
hHGZSIFeN7Q,35206,272,12,0,20
QfvrYT_fUdY,4818,72,6,0,4
K23gHMv3kXE,26504,116,14,0,10
aeQT46UXUew,21149,27,5,0,3
0HX2OgT9uPg,8557,59,0,0,4
IqxRybjAtbQ,34461,194,14,0,16
L0vkcoBiUnc,30815,224,20,0,15
8jqfKjOGIZg,85534,485,44,0,25
rhncH8juYBw,10355,64,4,0,4
4E_Qfk9WP0I,23530,279,8,0,26
0k7nHs9Wnj4,45185,295,12,0,47
38ywaqP4_ss,75049,527,26,0,40
Zf0Xl9_ES2s,17972,124,13,0,8
ORnbYfWRQag,17793,113,18,0,16
SDw1XKee7Hg,11752,294,6,0,25
8ylzMKA29vU,20045,208,6,0,8
F-NqztTggqg,2317,20,0,0,4
Lt3iqSPiypo,42645,267,47,0,37
dL8A7XiPFro,54490,371,27,0,12
EJoewkyB8KI,38589,262,13,0,8
CjqoOaDuu00,24792,484,8,0,28
MFcy1U0s4YY,18221,103,4,0,6
r2EdOijAqv4,8456,64,1,0,3
S1s2XeeyA-0,13191,91,7,0,5
si_xWbK8R9M,3974,24,2,0,2
K8NL2Rwv0u0,324494,1147,121,0,123
xY359UO5Oms,118379,527,58,0,56
Q3ejLYIvyqg,6491,32,4,0,2
N-de6gIzWdk,12360,40,1,0,4
hxHUyfl8ljI,39221,153,11,0,10
THXu4og0sWw,27467,177,14,0,7
quz0owrMK1Y,6865,103,2,0,5
4M6xSiWNJYE,13776,250,4,0,6
kKCl9kEi1wc,16184,340,1,0,20
Zndk1JWJQ3o,2427,24,0,0,4
on92e1DFa4Y,45705,277,28,0,43
wq0HWY-UcME,1840,12,0,0,2
elM0MHyezMM,1483,11,0,0,4
1pcNMncZ9r4,4095,28,0,0,0
p31ingNTT9k,149608,769,67,0,112
oJmECAYQmDU,27779,3,0,0,0
qBeh8l5H9H4,25595,129,6,0,10
vTlfz-dF8hY,19655,74,5,0,6
OQPv7Ddcrok,1222,11,0,0,3
3TG9eOj3v78,2703,27,0,0,2
Un-8n78s7Kw,3870,21,3,0,3
OgheCWiU7cQ,5827,29,0,0,2
moOHiow1dkE,5196,23,2,0,4
1RnCFKWEYnA,4948,15,3,0,9
wwEUdIgyNW0,12015,31,4,0,1
Q63uYbfzqek,2195,38,0,0,3
v0pPUyUW0wc,12155,302,5,0,12
59xoC6MMuls,1696,25,2,0,0
xaRVRAQjbhM,1388,12,0,0,1
3Y5W61cWbKw,2322,18,1,0,6
-MhaFgJNLoU,26433,253,17,0,20
Pf4YtKhUgqw,10403,18,1,0,3
FthWR2DlYPs,6172,46,2,0,3
QHATkVFtA9c,8811,80,3,0,3
O9XKALPfCW8,27274,187,8,0,8
DjRxiWsXAuI,66308,390,37,0,25
qWHYB8x4Plw,3249,45,1,0,4
pEli5aPKch4,10587,29,1,0,3
EnPrc_4jiq8,71543,175,16,0,29
_lsEhHCYqnw,114644,1089,20,0,71
32eO1yrg78k,73818,587,27,0,34
9FpkWkqCDV0,57979,306,30,0,21
f5p28UY76-I,88258,514,28,0,39
LaUDvoZa9ko,335627,3220,127,0,267
87CFUOysKfg,12837,43,4,0,6
rWzUkjlwmyo,61240,154,34,0,28
7SMJAq73WQ4,28067,103,18,0,8
yRTgTP4yRd4,133831,367,174,0,52
Mtw5-oW47u0,1161,10,1,0,1
xTjm0FJpz_8,1916,21,1,0,2
8nLxdeI3uaA,6427,39,2,0,8
aA_6CxOfOqk,531,2,0,0,3
5ZD4ZPMUj0k,35074,215,17,0,34
EAZF5OtIjhE,26975,110,9,0,23
4Wzv0e5S6Pc,28348,180,14,0,27
u4zSLIBWpP4,45115,223,11,0,33
RqsHAnGv8kA,2335,25,0,0,2
uycO5s6D5IA,19068,136,20,0,17
93Aqoe1smlU,3130,29,3,0,4
jit7-u4_-5c,4362,24,1,0,2
Em-97IdF2u8,1131,11,0,0,1
QjqrkrqWsxM,20490,93,9,0,8
2jsA_5fyxvw,6205,14,2,0,0
IvDii205FG4,8084,20,19,0,0
0KyJDamOegE,25665,53,8,0,10
lXjYzwRaWxY,18400,44,11,0,16
-Sug_-XSbeE,54690,219,40,0,25
ya4Q5mwIXA4,31884,205,26,0,23
Xe78vH1zWyQ,18376,156,14,0,15
4vU0ThHnBKc,34546,192,5,0,13
vxNx4nASKwU,38146,198,17,0,13
SMJDvQN7bcE,103363,291,130,0,25
l6QYawKqqZ4,2207,12,0,0,1
NQBMvyeJr6U,37654,181,36,0,15
hw5jIFi2Gv4,9437,81,0,0,7
S2v0VnekVGQ,30064,117,17,0,4
AaHllwCt6FQ,8128,26,2,0,6
hwFpna13oZg,24724,176,33,0,36
ZKWYkDnmBcE,15584,130,0,0,19
moT8l_yleok,21539,138,7,0,18
RFq6UEiQ3cU,2401,35,0,0,5
jzc6tzqNOFc,37763,244,12,0,22
pHXOM5xZC5s,21329,86,14,0,10
cRTNSnIW9gY,29415,140,15,0,11
nLPDFo0zYeg,6459,50,6,0,17
zJGS3ekkeKo,115408,696,39,0,43
iOKYrPxdUP0,54050,299,12,0,15
nx-ipu59jtU,73058,511,68,0,27
-Bn7thPEQc8,74913,645,20,0,42
1a8b4SgjFf0,1004,17,1,0,9
9XrNvChcLRM,4530,17,1,0,2
AbGo7qE1atY,3325,15,0,0,7
zJQELlKAw0c,9224,27,13,0,1
3_VZxuYBKBY,16735,81,9,0,7
tmiL8AVcwSQ,15537,19,1,0,6
00LKhsrz_nU,798,2,0,0,1
p3Oa6-xF9N4,7813,9,2,0,2
HUk3p7dm2nA,2195,10,0,0,1
Y_CDKr32Xrs,4717,17,2,0,5
w4-f-zii5ns,7954,21,2,0,1
bU51QbNOh6U,14701,32,10,0,2
un1pj07tWT4,2111,9,0,0,0
9kB9jxMqolI,608,4,0,0,0
lHHiDWOGL2Q,1204,0,0,0,0
W9M9up1nBNw,2509,0,0,0,0
vLC2UtxiE3Q,26831,1,0,0,0
7OEB-TVN9PI,17047,37,4,0,2
5OFr30Qedos,63928,261,38,0,15
gtn22OyQ71I,31496,63,3,0,7
emjucbFp4mo,112849,710,58,0,50
cvL5w3lJXoU,7337,68,1,0,1
yvlYKZuI9W4,29395,50,10,0,2
eXhPtQGXlIg,18642,17,4,0,1
5LI3j9VqMLk,282344,1875,172,0,142
2NQIHd7CB18,3173,19,5,0,5
vaaGe-2dX1E,2186,18,1,0,2
DjIMSvEC2DA,3202,8,3,0,3
yepAffNS8p8,51110,95,30,0,5
dBsK1LBmVQg,19408,118,10,0,7
wdA5hIHemMA,18599,79,7,0,6
palGf74Yh5I,15685,58,10,0,6
e_W1nO97TIc,18823,89,12,0,6
n-KCcG4qrjQ,45401,225,26,0,26
H8V7LcDdSk0,48379,316,19,0,11
1AO-ZFDCoG0,10147,48,5,0,5
Dqf8KscT5OA,31229,229,19,0,15
lmyTMeoJsnE,47712,135,24,0,5
l46sHCxk1Gw,43782,156,21,0,13
C6rc1gq2MiY,33271,96,12,0,15
PV4SIobZbPQ,48504,209,8,0,19
ky9L5vIX0jA,26942,132,2,0,16
dUbhCzc1OPI,5929,28,4,0,2
